,MOVIE_ID,TITLE,TMDB_ID,title,director,production_companies,genres,popularity,rating,actors,overview
56,57,Groundhog Day,137,Groundhog Day,['Harold Ramis'],['Columbia Pictures'],"['Romance', 'Fantasy', 'Drama', 'Comedy']",53.782,7.608,"['Bill Murray', 'Andie MacDowell', 'Chris Elliott', 'Michael Shannon', 'Brian Doyle-Murray', 'Harold Ramis', 'Willie Garson', 'Stephen Tobolowsky', 'Hynden Walch', 'Reni Santoni']","['producer', 'Punxsutawney', 'Day', 'Groundhog', 'weatherman', 'cameraman', 'narcissistic', 'mawkish', 'report', 'small']"
57,58,Harry Potter and the Deathly Hallows: Part 2,12445,Harry Potter and the Deathly Hallows: Part 2,['David Yates'],"['Warner Bros. Pictures', 'Heyday Films']","['Fantasy', 'Adventure']",181.466,8.1,"['Gary Oldman', 'Emma Watson', 'Daniel Radcliffe', 'Emma Thompson', 'Helena Bonham Carter', 'Ralph Fiennes', 'Maggie Smith', 'Clémence Poésy', 'David Thewlis', 'Ciarán Hinds']","['Ron', 'Harry', 'Hermione', 'Voldemort', 'continue', 'quest', 'vanquish', 'evil', 'wizards', 'skills']"
58,59,Harvey,11787,Harvey,['Henry Koster'],['Universal International Pictures'],"['Comedy', 'Fantasy']",32.917,7.7,"['James Stewart', 'Cecil Kellaway', 'Norman Leavitt', 'Maudie Prickett', 'Fess Parker', 'Clem Bevans', 'Dick Wessel', 'Jesse White', 'Eula Guy', 'Charles Drake']","['Dowd', 'Harvey', 'Elwood', 'story', 'makes', 'friends', 'spirit', 'taking', 'form', 'human-sized']"
59,60,Heat,949,Heat,['Michael Mann'],"['Warner Bros. Pictures', 'Regency Enterprises', 'Forward Pass']","['Action', 'Crime', 'Drama']",90.958,7.9,"['Al Pacino', 'Natalie Portman', 'Robert De Niro', 'William Fichtner', 'Ted Levine', 'Ashley Judd', 'Danny Trejo', 'Val Kilmer', 'Jeremy Piven', 'Jon Voight']","['Neil', 'Los', 'Angeles', 'Vincent', 'Hanna', 'Obsessive', 'rest', 'master', 'thief', 'McCauley']"
60,61,High Noon,288,High Noon,['Fred Zinnemann'],"['Stanley Kramer Productions', 'United Artists']","['Western', 'Thriller']",29.607,7.7,"['Lee Van Cleef', 'Gary Cooper', 'Jack Elam', 'Harry Morgan', 'Lloyd Bridges', 'Robert J. Wilke', 'Thomas Mitchell', 'Grace Kelly', 'Otto Kruger', 'Lon Chaney Jr.']","['Mexico', 'Kane', 'learns', 'freed', 'train', 'outlaw', 'sheriff', 'small', 'town', 'notorious']"
61,62,Hotel Rwanda,205,Hotel Rwanda,['Terry George'],"['Lionsgate', 'United Artists', 'The Department of Trade, Industry and Competition of South Africa', 'Miracle Pictures', 'Seamus', 'Inside Track', 'Kiagli Releasing', 'Mikado Film']","['Drama', 'History', 'War']",23.346,7.7,"['Nick Nolte', 'Jean Reno', 'Joaquin Phoenix', 'Don Cheadle', ""David O'Hara"", 'Sophie Okonedo', 'Hakeem Kae-Kazim', 'Fana Mokoena', 'Leleti Khumalo', 'Tony Kgoroge']","['Rwanda', 'Tutsis', 'Inspired', 'events', 'world', 'true', 'film', 'place', 'million', 'killed']"
62,63,How to Train Your Dragon,10191,How to Train Your Dragon,"['Chris Sanders', 'Dean DeBlois']",['DreamWorks Animation'],"['Fantasy', 'Adventure', 'Animation', 'Family']",134.651,7.8,"['Gerard Butler', 'David Tennant', 'Jonah Hill', 'Kristen Wiig', 'America Ferrera', 'T.J. Miller', 'Jay Baruchel', 'Craig Ferguson', 'Christopher Mintz-Plasse', 'Ashley Jensen']","['Viking', 'Hiccup', 'Horrendous', 'Haddock', 'III', 'manhood', 'shy', 'passage', 'mettle', 'warrior']"
63,64,"Il buono, il brutto, il cattivo",429,"The Good, the Bad and the Ugly",['Sergio Leone'],"['United Artists', 'PEA', 'Arturo González PC', 'Constantin Film']",['Western'],90.759,8.5,"['Clint Eastwood', 'Lee Van Cleef', 'Eli Wallach', 'Luigi Pistilli', 'Rada Rassimov', 'Antonio Palombi', 'Silvana Bacci', 'Fortunato Arena', 'Mario Brega', 'Livio Lorenzon']","['Confederacy', 'Civil', 'War', 'Union', 'Mexican', 'American', 'Southwest', 'men', 'loner', 'hitman']"
64,65,In the Name of the Father,7984,In the Name of the Father,['Jim Sheridan'],"[""Hell's Kitchen"", 'Universal Pictures']",['Drama'],24.98,7.902,"['Emma Thompson', 'Saffron Burrows', 'Pete Postlethwaite', 'Daniel Day-Lewis', 'Beatie Edney', 'Tom Wilkinson', 'Phil Davis', 'Mark Sheppard', 'John Lynch', 'Paterson Joseph']","['Belfast', 'Conlon', 'IRA', 'London', 'Gerry', 'implicated', 'small', 'time', 'thief', 'falsely']"
65,66,Incendies,46738,Incendies,['Denis Villeneuve'],"['TS Productions', 'Phi Group', 'micro_scope']","['Drama', 'War', 'Mystery']",33.042,8.1,"['Lubna Azabal', 'Mélissa Désormeaux-Poulin', 'Abdelghafour Elaaziz', 'Baya Belal', 'Rémy Girard', 'Jackie Sawiris', 'Mohamed Majd', 'John Dunn-Hill', 'Maxim Gaudette', 'Baraka Rahmani']","['Jeanne', 'Simon', 'Middle', 'East', 'roots', 'mother', 'wishes', 'send', 'twins', 'journey']"
66,67,Inception,27205,Inception,['Christopher Nolan'],"['Legendary Pictures', 'Syncopy', 'Warner Bros. Pictures']","['Action', 'Science Fiction', 'Adventure']",125.398,8.368,"['Tom Hardy', 'Leonardo DiCaprio', 'Cillian Murphy', 'Joseph Gordon-Levitt', 'Marion Cotillard', 'Michael Caine', 'Tom Berenger', 'Elliot Page', 'Pete Postlethwaite', 'Talulah Riley']","['Cobb', 'inception', 'subconscious', 'impossible', 'skilled', 'thief', 'commits', 'corporate', 'espionage', 'infiltrating']"
67,68,Indiana Jones and the Last Crusade,89,Indiana Jones and the Last Crusade,['Steven Spielberg'],"['Paramount Pictures', 'Lucasfilm Ltd.']","['Adventure', 'Action']",52.354,7.8,"['Harrison Ford', 'River Phoenix', 'Sean Connery', 'John Rhys-Davies', 'Alison Doody', 'Alex Hyde-White', 'Ronald Lacey', 'Richard Young', 'Vernon Dobtcheff', 'Bradley Gregg']","['Grail', 'Jones', 'Indiana', 'Holy', 'father', 'art', 'collector', 'appeals', 'eminent', 'archaeologist']"
68,69,Infernal Affairs,10775,Infernal Affairs,"['麥兆輝', 'Andrew Lau Wai-Keung']","['Media Asia Films', 'Basic Pictures']","['Drama', 'Action', 'Thriller', 'Crime', 'Mystery']",28.024,7.8,"['劉德華', '陳冠希', 'Eric Tsang', '梁朝偉', '黃秋生', 'Shawn Yue', '杜汶澤', '袁偉豪', '林家棟', '何華超']","['Ming', 'Kin', 'Wing', 'Yan', 'Chan', 'officer', 'young', 'Lau', 'police', 'mafia']"
69,70,Inglourious Basterds,16869,Inglourious Basterds,['Quentin Tarantino'],"['The Weinstein Company', 'A Band Apart', 'Zehnte Babelsberg Film']","['Drama', 'Thriller', 'War']",75.805,8.2,"['Michael Fassbender', 'Brad Pitt', 'Samuel L. Jackson', 'Quentin Tarantino', 'Diane Kruger', 'Mélanie Laurent', 'Harvey Keitel', 'Daniel Brühl', 'Christoph Waltz', 'Léa Seydoux']","['Basterds', 'Nazis', 'Nazi-occupied', 'France', 'World', 'War', 'Reich', 'group', 'Jewish-American', 'chosen']"
70,71,Into the Wild,5915,Into the Wild,['Sean Penn'],"['River Road Entertainment', 'Paramount Vantage', 'The Linson Company', 'Square One C.I.H.']","['Adventure', 'Drama']",33.469,7.8,"['Kristen Stewart', 'Zach Galifianakis', 'Emile Hirsch', 'Vince Vaughn', 'William Hurt', 'Catherine Keener', 'Merritt Wever', 'Marcia Gay Harden', 'Jena Malone', 'Hal Holbrook']","['Emory', 'University', 'Christopher', 'Alaska', 'top', 'possessions', 'entire', 'savings', 'charity', 'wilderness']"
71,72,Intouchables,77338,The Intouchables,"['Éric Toledano', 'Olivier Nakache']","['Gaumont', 'Quad Productions', 'Chaocorp', 'Ten Films', 'TF1 Films Production']","['Drama', 'Comedy']",53.475,8.277,"['Audrey Fleurot', 'Omar Sy', 'Alba Gaïa Bellugi', 'Benjamin Baroche', 'François Cluzet', 'Émilie Caen', 'Caroline Bourg', 'Clotilde Mollet', 'Thomas Solivérès', 'Anne Le Ny']","['met', 'projects', 'true', 'story', 'men', 'quadriplegic', 'aristocrat', 'injured', 'paragliding', 'accident']"
72,73,It Happened One Night,3078,It Happened One Night,['Frank Capra'],['Columbia Pictures'],"['Comedy', 'Romance']",25.14,7.8,"['Clark Gable', 'Ward Bond', 'Milton Kibbee', 'James Burke', 'Claudette Colbert', 'Arthur Hoyt', 'Frank Capra', 'Mickey Daniels', 'Charles C. Wilson', 'Bess Flowers']","['Florida', 'York', 'bus', 'rogue', 'reporter', 'trailing', 'runaway', 'heiress', 'big', 'story']"
73,74,It's a Wonderful Life,1585,It's a Wonderful Life,['Frank Capra'],['Liberty Films'],"['Drama', 'Family', 'Fantasy']",56.403,8.3,"['James Stewart', 'Lionel Barrymore', 'Charles Lane', 'Donna Reed', 'Frank Faylen', 'Thomas Mitchell', 'Beulah Bondi', 'Ward Bond', 'Adriana Caselotti', 'Jimmy Hawkins']","['George', 'generations', 'Falls', 'holiday', 'favourite', 'Bailey', 'Bedford', 'entire', 'Potter', 'Christmas']"
74,75,Jagten,103663,The Hunt,['Thomas Vinterberg'],"['Zentropa International Sweden', 'Zentropa Entertainments', 'Film i Väst']",['Drama'],36.901,8.1,"['Mads Mikkelsen', 'Alexandra Rapaport', 'Sebastian Bull Sarning', 'Lars Ranthe', 'Thomas Bo Larsen', 'Lasse Fogelstrøm', 'Bjarne Henriksen', 'Anne Louise Hassing', 'Troels Thorsen', 'Susse Wold']","['custody', 'son', 'life', 'teacher', 'lives', 'lonely', 'struggling', 'lie', 'slowly', 'finds']"
75,76,Jaws,578,Jaws,['Steven Spielberg'],"['Zanuck/Brown Productions', 'Universal Pictures']","['Horror', 'Thriller', 'Adventure']",111.972,7.664,"['Steven Spielberg', 'Roy Scheider', 'Richard Dreyfuss', 'Robert Shaw', 'Murray Hamilton', 'Beverly Powers', 'Dorothy Fielding', 'Lorraine Gary', 'Susan Backlinie', 'Ted Grossman']","['Amity', 'shark', 'police', 'biologist', 'seaside', 'community', 'finds', 'attack', 'dangerous', 'great']"
76,77,Jurassic Park,329,Jurassic Park,['Steven Spielberg'],"['Universal Pictures', 'Amblin Entertainment']","['Adventure', 'Science Fiction']",40.956,7.952,"['Samuel L. Jackson', 'Jeff Goldblum', 'Sam Neill', 'BD Wong', 'Laura Dern', 'Whit Hertford', 'Joseph Mazzello', 'Wayne Knight', 'Ariana Richards', 'Miguel Sandoval']","['DNA', 'park', 'wealthy', 'entrepreneur', 'secretly', 'creates', 'theme', 'featuring', 'living', 'drawn']"
77,78,Kaze no tani no Naushika,81,Nausicaä of the Valley of the Wind,['宮崎駿'],['Topcraft'],"['Adventure', 'Animation', 'Fantasy']",41.072,7.9,"['島田敏', '八奈見乗児', '京田尚子', '大塚芳忠', '菅谷政子', '坂本千夏', '冨永みーな', '島本須美', '家弓家正', '永井一郎']","['Valley', 'Earth', 'Wind', 'war', 'global', 'seaside', 'kingdom', 'remains', 'strongholds', 'untouched']"
78,79,Kill Bill: Vol. 1,24,Kill Bill: Vol. 1,['Quentin Tarantino'],"['Miramax', 'A Band Apart', 'Super Cool ManChu']","['Action', 'Crime']",74.854,8.0,"['Uma Thurman', 'Lucy Liu', 'Daryl Hannah', 'Michael Madsen', '栗山千明', 'Vivica A. Fox', '風祭ゆき', 'Gordon Liu Chia-hui', '北村一輝', 'David Carradine']","['Bill', 'employer', 'circle', 'vengeance', 'assassin', 'shot', 'ruthless', 'members', 'assassination', 'lives']"
79,80,L.A. Confidential,2118,L.A. Confidential,['Curtis Hanson'],"['Regency Enterprises', 'Warner Bros. Pictures', 'Wolper Organization']","['Crime', 'Mystery', 'Thriller']",31.72,7.796,"['Russell Crowe', 'Guy Pearce', 'Simon Baker', 'Kim Basinger', 'James Cromwell', 'Danny DeVito', 'Kevin Spacey', 'Brenda Bakke', 'Matt McCoy', 'David Strathairn']","['brutal', 'police', 'diner', 'detectives', 'corrupt', 'force', 'differing', 'methods', 'uncover', 'conspiracy']"
80,81,Lawrence of Arabia,947,Lawrence of Arabia,['David Lean'],['Horizon Pictures'],"['Adventure', 'History', 'War']",83.458,8.0,"[""Peter O'Toole"", 'Omar Sharif', 'Jack Hawkins', 'José Ferrer', 'Jack Hedley', 'Anthony Quinn', 'John Bennett', 'Claude Rains', 'Alec Guinness', 'Anthony Quayle']","['British', 'Arab', 'Lawrence', 'story', 'officer', 'War', 'Ottoman', 'Empire', 'World', 'mission']"
81,82,Life of Pi,87827,Life of Pi,['李安'],"['Fox 2000 Pictures', 'Dune Entertainment', 'Ingenious Media', 'Haishang Films', 'Netter Productions', 'India Take One', 'Ingenious Film Partners', 'Big Screen Productions']","['Adventure', 'Drama']",45.064,7.4,"['Gérard Depardieu', 'Tabu', 'Adil Hussain', 'Rafe Spall', 'Irrfan Khan', 'James Saito', 'Suraj Sharma', 'Gautam Belur', 'Vibish Sivakumar', 'Ayush Tandon']","['Ocean', 'zebra', 'orangutan', 'Indian', 'Bengal', 'Pacific', 'hyena', 'story', 'boy', 'named']"
82,83,"Lock, Stock and Two Smoking Barrels",100,"Lock, Stock and Two Smoking Barrels",['Guy Ritchie'],"['Summit Entertainment', 'The Steve Tisch Company', 'SKA Films', 'PolyGram Filmed Entertainment', 'Handmade Films']","['Comedy', 'Crime']",23.869,8.1,"['Jason Statham', 'Vinnie Jones', 'Jason Flemyng', 'Nick Moran', 'Danny John-Jules', 'Steven Mackintosh', 'Matthew Vaughn', 'Sting', 'Alan Ford', 'Andrew Tiernan']","['match', 'card', 'shark', 'unwillingly-enlisted', 'friends', 'make', 'lot', 'cash', 'quick', 'losing']"
83,84,M,832,M,['Fritz Lang'],['Nero-Film AG'],"['Drama', 'Thriller', 'Crime']",29.537,8.1,"['Peter Lorre', 'Ellen Widmann', 'Gustaf Gründgens', 'Otto Wernicke', 'Georg John', 'Theodor Loos', 'Hertha von Walther', 'Ernst Stahl-Nachbaur', 'Theo Lingen', 'Paul Mederow']","['Hans', 'German', 'Berlin', 'Beckert', 'thriller', 'children', 'manhunt', 'classic', 'serial', 'killer']"
